#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
슬픔,3,2,1
행복,3,2,1
죽음,3,1,2
비극,3,1,2
혼자,3,1,2
사랑,3,2,1
모험,3,2,1
달콤,3,2,1
신나는,3,2,1
폭죽,3,2,1
낭만,3,2,1
눈물,3,1,2
우울,3,1,2
마음,3,2,1
결혼,3,2,1
열정,3,2,1
어린 시절,3,2,1
재미,3,2,1
색깔,3,2,1
희망,3,1,2
친구,3,2,1
가족,3,2,1
파티,3,2,1
방학,3,2,1
게으른,3,2,1
상상,3,1,2
고통,3,1,2
휴일,3,2,1
침대,3,2,1
깃털,3,2,1
실망,3,1,2
두려움,3,1,2
따뜻한,3,2,1
꽃,3,2,1
편안한,3,2,1
춤,3,2,1
노래,3,2,1
울음,3,1,2
웃음,3,2,1
어두운,3,1,2
햇빛,3,2,1
먹구름,3,2,1
안정,3,1,2
바보같은,3,2,1
날다,3,2,1
멋있는,3,2,1
짝사랑,3,1,2
장미,3,1,2
함께,3,2,1
약속,3,2,1
매력,3,2,1
아름다운,3,2,1
환호,3,2,1
웃음,3,2,1
부서진,3,1,2
귀한,3,2,1
기도,3,1,2
칠칠맞은,3,2,1
용서,3,1,2
자연,3,2,1
바다,3,2,1
눈부신,3,2,1
특별한,3,2,1
음악,3,2,1
행운,3,2,1
비운,3,1,2
소리내서,3,2,1
평온,3,1,2
즐거운,3,1,2
석양,3,2,1
반딧불,3,2,1
무지개,3,2,1
아픈,3,1,2
놀다,3,2,1
반짝이는,3,2,1
흉터,3,1,2
텅빈,3,1,2
대단한,3,2,1
비탄,3,1,2
포옹,3,1,2
기이한,3,2,1
어마어마한,3,2,1
패배,3,1,2
절망,3,1,2
고통,3,1,2
보물,3,2,1
축복,3,2,1
추억,3,2,1
귀여운,2,3,1
복실복실한,2,3,1
순수한,1,3,2
사탕,2,3,1
쇼핑,2,3,1
멍멍이,2,3,1
야옹이,2,3,1
구름,2,3,1
립스틱,1,3,2
파르페,2,3,1
딸기,2,3,1
분홍,2,3,1
초콜릿,2,3,1
심박,1,3,2
키스,1,3,2
멜로디,2,3,1
리본,2,3,1
조마조마한,2,3,1
두근두근,2,3,1
카와이,2,3,1
치마,2,3,1
볼,2,3,1
이메일,2,3,1
끈적끈적한,2,3,1
통통튀는,2,3,1
빛나는,2,3,1
야금야금,2,3,1
판타지,1,3,2
설탕,2,3,1
킥킥,2,3,1
마시멜로우,2,3,1
깡충깡충,2,3,1
팔짝팔짝,2,3,1
평화,2,3,1
빙글빙글,2,3,1
펭그르르,2,3,1
막대사탕,2,3,1
팟,2,3,1
비눗방울,2,3,1
귓속말,2,3,1
여름,2,3,1
폭포,1,3,2
수영복,2,3,1
바닐라,2,3,1
헤드폰,2,3,1
게임,2,3,1
양말,2,3,1
머리,2,3,1
놀이터,2,3,1
잠옷,1,3,2
담요,1,3,2
우유,2,3,1
불룩,2,3,1
화,2,3,1
아빠,2,3,1
발렌타인,2,3,1
쥐,1,3,2
휘파람,2,3,1
툭툭,2,3,1
토깽이,2,3,1
애니,2,3,1
점프,2,3,1
의지,1,1,3
자살,2,1,3
상상,2,1,3
비밀,2,1,3
치명,1,1,3
존재,2,1,3
찬란한,1,1,3
핏빛,1,1,3
돌개바람,1,1,3
잔상,1,1,3
어지러운,1,1,3
정신없는,1,1,3
정수,2,1,3
분위기,2,1,3
별무리,2,1,3
혼란,1,1,3
타락,1,1,3
지적,1,1,3
분석,1,1,3
엔트로피,1,1,3
쾌활,1,1,3
묘한,2,1,3
불일치한,1,1,3
노여움,2,1,3
하늘의,2,1,3
대학살,2,1,3
철학,1,1,3
변덕스런,1,1,3
집착,1,1,3
기운,2,1,3
불안정한,1,1,3
불타오르는,2,1,3
무능력한,2,1,3
운명,2,1,3
틀림없는,1,1,3
고뇌,2,1,3
변동,1,1,3
통제불가,2,1,3
극도로,1,1,3
도망,2,1,3
꿈,2,2,3
재앙,2,1,3
선명한,2,1,3
생기,1,2,3
질문,1,2,3
곪다,2,1,3
심판,1,1,3
새장,1,2,3
폭발,1,2,3
쾌락,1,2,3
욕정,1,2,3
감정,1,2,3
절정,1,2,3
전력,1,2,3
의절,1,1,3
경멸,2,1,3
무한한,2,1,3
영원한,2,1,3
시간,2,1,3
세계,2,1,3
끝없는,2,1,3
빗방울,2,1,3
갈망,1,1,3
거리낌 없는,1,1,3
풍경,2,1,3
초상화,2,1,3
여행,2,1,3
메마른,1,1,3
불안한,2,1,3
무서운,2,1,3
공포,2,1,3
비애,2,1,3
깨달음,2,1,3
속죄,2,1,3
호흡,1,2,3
사로잡힌,2,1,3
소망,1,2,3
묘지,2,1,3
